gene,Cerebrum-Astrocytes,Cerebrum-Excitatory_neurons,Cerebrum-Inhibitory_neurons,Cerebrum-Limbic_system_neurons,Cerebrum-Megakaryocytes,Cerebrum-Microglia,Cerebrum-Oligodendrocytes,Cerebrum-SKOR2_NPSR1_positive_cells,Cerebrum-Vascular_endothelial_cells
ENSG00000000003,0.5272678839257086,0.0,0.0,0.0,0.0,0.0,0.07055535934128081,0.0,0.5150406864307061
ENSG00000000460,0.0,0.0,0.0,0.0,0.0,0.5691736092244968,0.0,0.0,0.0
ENSG00000000938,0.0,0.0,0.0,0.0,0.0,0.014206452209413264,0.0,0.0,0.8788183602143065
ENSG00000000971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9606293448324472
ENSG00000001036,0.0,0.0,0.0,0.009922776261584115,0.0,0.5030308616458112,0.0,0.0,0.0
ENSG00000001084,0.0,0.0,0.0,0.08706254291158208,0.0,0.6445988592815853,0.0,0.0,0.0
ENSG00000001167,0.0,0.0,0.0,0.0,0.0,0.0922900857715753,0.0,0.0,0.21006047084270754
ENSG00000001460,0.0,0.0,0.004949452401010952,0.7428497904541959,0.0,0.0,0.0,0.49348581062472385,0.0
ENSG00000001461,0.0,0.0,0.2574145375991985,0.335033532517809,0.03629058852738652,0.0,0.004147465437788018,0.028201610473920863,0.0
ENSG00000001497,0.0,0.0,0.0029813900493733383,0.08970385255467736,0.0,0.0,0.0,0.0987936825183743,0.0
ENSG00000001561,0.0,0.0,0.0,0.08173630567547405,0.0,0.0,0.0,0.7297946091219243,0.0
ENSG00000001617,0.0,0.14140963458854552,0.35328670288251074,0.0,0.0,0.0,0.0,0.41654287460315587,0.0
ENSG00000001626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9181188659841165,0.0
ENSG00000001629,0.0,0.0,0.13839313050970153,0.41753866577364496,0.0,0.0,0.0,0.3390453212354406,0.0
ENSG00000001630,0.35850489433495614,0.0,0.0,0.34618374651788597,0.0,0.0,0.0752875029293173,0.0,0.0
ENSG00000001631,0.00048500881834215174,0.0,0.00017201834862385322,0.015232854958329916,0.0,0.0,0.0,0.2755773970498704,0.0
ENSG00000002016,0.0027262352661477163,0.0,0.14153317184266087,0.2868917203384011,0.0,0.0,0.0,0.0,0.0
ENSG00000002330,0.0,0.0,0.0,0.12212671169566222,0.0,0.0,0.0,0.0,0.397159181773298
ENSG00000002549,0.0,0.0,0.0,0.0,0.0,0.41972930079845633,0.0,0.0,0.26196297736132423
ENSG00000002586,0.40500814873880425,0.0,0.0,0.0,0.0032824066126708176,0.24423704815198896,0.0,0.0,0.6114492411893221
ENSG00000002587,0.0,0.7021270749960101,0.012802742923840097,0.39879496222304833,0.0,0.20916436163127083,0.0,0.0,0.0
ENSG00000002745,0.0,0.005640132765434941,0.0,0.0,0.0,0.0,0.0,0.9661455346646701,0.0
ENSG00000002746,0.0,0.17070355854902816,0.4636886374928883,0.528954058392287,0.0,0.0,0.09404439796590104,0.5783729054415649,0.0
ENSG00000002822,0.0,0.0,0.0,0.0,0.0,0.21215556004521127,0.0,0.0,0.046591845452734794
ENSG00000002834,0.0,0.0,0.0,0.050712791916580915,0.0,0.09173659359235267,0.0,0.0,0.382560305730989
ENSG00000003056,0.0,0.0,0.0,0.0,0.0,0.5383350153190383,0.0,0.0,0.035049101959186445
ENSG00000003096,0.0,0.0,0.40615002897931457,0.630013901101111,0.0,0.0,0.4039192603837106,0.0,0.0
ENSG00000003137,0.9676505763229027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003147,0.0,0.0,0.005197132616487455,0.3789654768376062,0.0,0.4298066376516312,0.0,0.0,0.14830107120281752
ENSG00000003249,0.0,0.05304047780754839,0.0,0.6594086194307713,0.0,0.0,0.0,0.27738701452373044,0.0
ENSG00000003393,0.0,0.0,0.0,0.2615181056183158,0.0,0.0,0.0,0.24450268345692477,0.0
ENSG00000003400,0.0,0.0,0.0,0.0,0.16296961024608633,0.002859229569999862,0.0,0.0,0.7914109882913086
ENSG00000003402,0.0,0.0,0.0,0.0,0.08030909070822308,0.29154438425290863,0.0,0.0,0.5873202983799319
ENSG00000003436,0.5740847142846628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7576059413242795
ENSG00000003509,0.0,0.0,0.03459380481319224,0.29201690435490646,0.0,0.0,0.0,0.20468830292820792,0.0
ENSG00000003756,0.0,0.0,0.0,0.268265958695695,0.0,0.0,0.0,0.14174024051558723,0.0
ENSG00000003987,0.0,0.005581947743467934,0.4368148271441992,0.5863617636996157,0.0,0.0,0.0,0.4968695701890925,0.0
ENSG00000003989,0.8166510506312514,0.0,0.0,0.0,0.0,0.0,0.16199050255376563,0.0,0.0
ENSG00000004059,0.0,0.0,0.0,0.015455997328095949,0.02827355422520101,0.0,0.0,0.0,0.384769478733909
ENSG00000004139,0.0,0.010753929950358522,0.017758182839689017,0.40485808945170526,0.0,0.0,0.0,0.4031731856804285,0.0
ENSG00000004142,0.0,0.0,0.0,0.04072673665616851,0.0,0.0,0.0,0.0,0.3049532514022548
ENSG00000004399,0.0,0.0,0.0,0.0,0.0,0.08454548997811137,0.0,0.0,0.8281359302763187
ENSG00000004468,0.958634134594552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004478,0.0,0.0,0.0,0.0002628259041211101,0.0,0.0,0.0,0.0,0.43512543275799465
ENSG00000004487,0.0,0.08090656821373818,0.12461130503153259,0.21391173816924666,0.0,0.0,0.0,0.1564390873629684,0.0
ENSG00000004534,0.03544277218087296,0.019672917815774956,0.017808831647540026,0.24804818553846056,0.0,0.0714866912596607,0.0,0.07721669962517201,0.0
ENSG00000004660,0.0,0.022325491737598843,0.0,0.3760811688636855,0.0,0.051854820254756476,0.0,0.14269373111669795,0.0
ENSG00000004700,0.0,0.0,0.0,0.016035546032337585,0.0,0.0,0.0,0.0,0.36653617184057063
ENSG00000004766,0.0,0.0,0.0,0.2472071715063875,0.0,0.00211030923786122,0.0,0.3723238882906388,0.0
ENSG00000004776,0.06687552717983511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196992559436035
ENSG00000004777,0.0,0.18203618327776935,0.0,0.46227534734750647,0.0,0.0,0.016821482148523952,0.05230944399751669,0.0
ENSG00000004779,0.0,0.0,0.0,0.04193824013634308,0.0,0.0,0.0,0.0,0.3103164763460586
ENSG00000004799,0.0,0.0,0.0,0.0,0.0,0.9089566601838317,0.0,0.0,0.0
