gene,OPC,astrocytes,endothelial,fetal_quiescent,fetal_replicating,hybrid,microglia,neurons,oligodendrocytes
ENSG00000175899,0.2665131408022101,0.0,0.4293666723111619,0.0,0.0,0.0,0.5566854329304443,0.0,0.0
ENSG00000166535,0.0,0.8211854523593668,0.0,0.0860566448801743,0.0,0.17744860943168078,0.0,0.0,0.0
ENSG00000115977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24444915729549344,0.0
ENSG00000090861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4004847141464746,0.0
ENSG00000149313,0.0,0.0,0.0,0.2300267618318067,0.0,0.0,0.0,0.15886592445105022,0.0
ENSG00000008311,0.1113251155624037,0.3307025927808846,0.0,0.0,0.12931034482758622,0.0,0.0,0.0,0.0746911789010043
ENSG00000181409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032914201183431954,0.7433295423685924
ENSG00000183044,0.0,0.0,0.0,0.0,0.0,0.28789459306128173,0.0,0.3494646618892398,0.0
ENSG00000165029,0.17180277349768874,0.2723648534146755,0.0,0.0,0.0,0.0,0.018951612903225806,0.0,0.0
ENSG00000154263,0.0,0.0,0.21981190497231545,0.0,0.0,0.3250353797456822,0.0,0.24149671090157113,0.0
ENSG00000154265,0.0,0.0,0.0,0.0,0.0,0.2795084635525291,0.0,0.5307849430665506,0.0
ENSG00000154262,0.0,0.0,0.27568759923608116,0.0,0.0,0.0,0.0,0.37390445945421324,0.0
ENSG00000141338,0.0,0.0,0.005256241787122208,0.0,0.0,0.0,0.0,0.0,0.8260238161920814
ENSG00000154258,0.0,0.0,0.45691190238087853,0.0,0.0,0.20435308343409916,0.0,0.1640162721893491,0.0
ENSG00000085563,0.0,0.0,0.7406300853644081,0.0,0.0,0.0,0.0,0.07821745562130178,0.0
ENSG00000005471,0.13647746243739567,0.0,0.0,0.0,0.02921455938697318,0.0,0.5783781799121046,0.0,0.0
ENSG00000125257,0.5217729226890166,0.0,0.0,0.0,0.03624690819147388,0.0,0.47613040528224027,0.0,0.0
ENSG00000114770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4872144372353766,0.0
ENSG00000069431,0.0,0.7884008458964551,0.13229506411304948,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173208,0.0,0.664558624142457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7982395993530806
ENSG00000118777,0.0,0.0,0.866961685487999,0.0,0.0,0.0,0.0750689463654732,0.0,0.0
ENSG00000248487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6394126943851764,0.0
ENSG00000114779,0.0,0.004448398576512456,0.6391125524883835,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158201,0.0,0.4141288595153364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136754,0.0,0.09095238095238095,0.0,0.0,0.0,0.11856710393541876,0.13764501160092807,0.04828199052132701,0.0
ENSG00000143322,0.24600188903060768,0.0,0.0,0.0,0.0,0.0,0.14849531986471032,0.0,0.0
ENSG00000099204,0.0,0.25077366548042707,0.0550682261208577,0.0,0.0,0.061301715438950556,0.0,0.027991706161137442,0.0
ENSG00000159842,0.0,0.06267619047619047,0.0,0.0,0.0,0.0,0.0,0.20532383972161058,0.0
ENSG00000167315,0.0,0.35399156075241484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000278540,0.005007704160246533,0.0,0.0,0.0,0.0,0.12336024217961655,0.0,0.04235781990521327,0.0
ENSG00000076555,0.0,0.6023550494438334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000072778,0.0,0.1806366717505508,0.0,0.0,0.0,0.0,0.0,0.2728067186381965,0.0
ENSG00000114331,0.0,0.09404761904761905,0.0,0.0,0.0,0.02674066599394551,0.0,0.0,0.0
ENSG00000120437,0.0,0.0,0.0,0.6455689539951684,0.0,0.0,0.0,0.0,0.0
ENSG00000176244,0.0,0.816979192287445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3179214462219327
ENSG00000100412,0.0,0.3155148957803762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162390,0.0,0.8610740860445771,0.0,0.0,0.0,0.16872162863995877,0.0,0.0,0.0
ENSG00000097021,0.0,0.0,0.0,0.2684594392487059,0.0,0.0,0.0,0.5626750403813826,0.0
ENSG00000168306,0.0,0.7077319513416234,0.008597883597883597,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143727,0.0,0.0,0.0,0.02488855869242199,0.0,0.0,0.0,0.10150137412714882,0.0
ENSG00000103740,0.0,0.9656428747334828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151726,0.24914919833003646,0.0,0.0,0.0,0.0,0.0,0.3711885900835189,0.0,0.2660881956161625
ENSG00000123983,0.15947611710323575,0.05476190476190476,0.0,0.0,0.0,0.11352169525731584,0.0,0.08338270142180094,0.0
ENSG00000164398,0.0,0.5057798000338926,0.0,0.0,0.0,0.42143098875469154,0.0,0.10511722145881824,0.0
ENSG00000154930,0.0,0.6605561560423799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111058,0.0,0.7161414934505526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107796,0.0,0.0,0.8215970185842807,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075624,0.0,0.0,0.0,0.23581288343558282,0.1331417624521073,0.0,0.10080645161290322,0.023696682464454975,0.02817824377457405
ENSG00000184009,0.0,0.0,0.0,0.23773006134969324,0.11973180076628352,0.0,0.0,0.02680687203791469,0.0
ENSG00000077080,0.0,0.0,0.0,0.42692784559754227,0.0,0.0,0.0,0.6592084852782032,0.0
ENSG00000131966,0.0,0.0,0.0,0.014858841010401188,0.0,0.0,0.0,0.11959025070809613,0.0
ENSG00000121989,0.0,0.0,0.0,0.04862510141386886,0.1336206896551724,0.0,0.0,0.0,0.0
ENSG00000139567,0.0,0.0,0.743519712019855,0.0,0.0,0.18198307134220074,0.0,0.0,0.0
ENSG00000119640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32027129535646615,0.0
ENSG00000170634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09513902521102667,0.21887554431506967
ENSG00000196839,0.0,0.6410930408779074,0.0,0.0,0.0,0.0,0.0,0.0,0.006231671554252199
ENSG00000151694,0.01926040061633282,0.0,0.0,0.0,0.1053639846743295,0.0,0.12561778060524412,0.0,0.0
ENSG00000134007,0.11526447846791951,0.15890323673953566,0.0,0.0,0.0,0.0,0.0,0.07182969236377913,0.0
ENSG00000008277,0.0,0.0,0.0,0.0,0.0,0.3468547934323886,0.0,0.3256928447042696,0.0
ENSG00000042980,0.6205851555195516,0.0,0.0,0.0,0.0,0.0,0.6968262908444237,0.0,0.0
ENSG00000154734,0.20089980475934466,0.0,0.43791666460830125,0.0,0.0,0.09313964739487308,0.0,0.0,0.2214268418766791
ENSG00000140873,0.0,0.0,0.0,0.0,0.0,0.22158403869407498,0.0,0.0,0.8528545318765512
ENSG00000158859,0.0,0.0,0.3617647736200627,0.0,0.0,0.0,0.0,0.0,0.6991626262582044
ENSG00000163638,0.0,0.0,0.470561355800437,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143382,0.0,0.0,0.1914845322076545,0.0,0.0,0.0,0.6188199764231236,0.0,0.0436217008797654
ENSG00000185761,0.0,0.8675808423267822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184060,0.011686143572621035,0.0,0.0,0.0,0.0,0.0,0.7972673245027169,0.0,0.0
ENSG00000185736,0.0,0.0,0.0,0.0,0.0,0.6539424071151443,0.0,0.4685163425560443,0.3217491260209702
ENSG00000164742,0.0,0.0,0.0,0.883048093858033,0.0,0.0,0.0,0.0,0.0
ENSG00000078295,0.0,0.262025521098119,0.0,0.0,0.0,0.05403697736349057,0.0,0.36926840799039073,0.0
ENSG00000129467,0.0,0.0,0.9565154312883293,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078549,0.0,0.16625046602270802,0.0,0.0,0.0,0.05429528742104353,0.0,0.10591751857537149,0.0
ENSG00000087274,0.0,0.14761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.00327653997378768
ENSG00000075340,0.0,0.0,0.0,0.755781701586178,0.0,0.0,0.0,0.05858026467203682,0.0
ENSG00000148700,0.0,0.29415936281986105,0.0,0.0,0.0,0.09485368314833502,0.0,0.0005924170616113745,0.12678347527669626
ENSG00000147576,0.0,0.7026823504168591,0.0,0.0,0.0,0.012394195888754534,0.0,0.0,0.0
ENSG00000006831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49147618341652266
ENSG00000148926,0.0,0.0957888493475682,0.6096711042877018,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170425,0.0,0.7989358974408539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000282608,0.26276459739010316,0.0,0.0,0.0,0.0,0.0,0.6398638407243415,0.0,0.22620857242786807
ENSG00000150594,0.0,0.0,0.0,0.9729871812538311,0.0,0.0,0.0,0.0,0.0
ENSG00000043591,0.0,0.5934202766431932,0.0,0.0,0.0,0.0,0.0,0.0014792899408284023,0.0
ENSG00000169252,0.17766385943997065,0.3060914760210134,0.32805439235041906,0.0,0.0,0.0,0.03564981949458484,0.0,0.0
