gene,Astro,Endo,Ex1,Ex2,Ex3e,Ex4,Ex5b,Ex6a,Ex6b,Ex8,Ex9,In1a,In1b,In1c,In3,In4a,In4b,In6a,In6b,In7,In8,Microglia,OPC,Oligo,Per
ENSG00000070731,0.0,0.0,0.2998444379862639,0.13008886465552444,0.0,0.06573896353166987,0.0,0.0,0.0,0.509737618671751,0.0,0.0,0.0,0.0,0.3068467584160999,0.0,0.6299215565997237,0.0,0.0,0.0,0.10750962772785623,0.0,0.0,0.0,0.0
ENSG00000184005,0.02887090842221405,0.611891946322583,0.0,0.1388710806666733,0.0,0.0,0.21129139130804409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33806508768387183,0.0,0.6680539515106769,0.0,0.5670929469758363,0.0
ENSG00000136840,0.0,0.34575018819714576,0.0,0.0,0.0771909460243761,0.0,0.0,0.3388560488800775,0.0,0.0,0.0,0.6498063281669566,0.0,0.0,0.0,0.0,0.0,0.0,0.40569518670630705,0.0,0.028241335044929396,0.0,0.0,0.0,0.0
ENSG00000117069,0.0,0.0,0.8140086477520383,0.6621894891783648,0.3091744701662361,0.6439248404734851,0.6885047223804474,0.2767002564845945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05470313542361575,0.0,0.8711107629319126,0.0,0.0,0.0,0.0
ENSG00000160408,0.0,0.0,0.01995956094742923,0.12918554045652367,0.0,0.0,0.31892456753455356,0.0,0.0,0.0,0.0,0.0,0.21229232259226757,0.0,0.7536329412391767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004866,0.0,0.0,0.4362892981104755,0.47293519287384533,0.0,0.24909517476579182,0.48408432776896915,0.0,0.33487254836368124,0.4418746175319148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000226367,0.08127490039840637,0.0,0.7181737421121923,0.5832896523705736,0.0,0.0,0.4638913784402713,0.0,0.11651628600934352,0.03517748640869843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11531806243794215,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007341,0.0,0.0,0.0,0.10201019335556366,0.0,0.0,0.020422795818299564,0.06473142489546478,0.0,0.193398742390949,0.0,0.0,0.0,0.0,0.0,0.0,0.08395885460105644,0.0,0.0,0.0,0.0,0.0,0.0,0.13440266459966138,0.0
ENSG00000111728,0.07742495751943801,0.0,0.0,0.012367883471000977,0.0,0.14384047686630713,0.6122310302048233,0.4684970196073971,0.5451590684912094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18385474809216185,0.7981644167540363,0.0,0.2314835009617342,0.0,0.24130795479824016,0.0,0.0
ENSG00000140557,0.0,0.0,0.0,0.0,0.0,0.19913779209030485,0.0,0.0,0.0,0.8847059124112809,0.0,0.0,0.9790762304576284,0.3146844344084794,0.8300911631325034,0.1181077694235589,0.777967971737743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177511,0.0,0.0,0.5336787267950946,0.28824080510595373,0.7354653400825862,0.4076949093848803,0.38058951660117357,0.0,0.0,0.30300486252293535,0.3727737879198953,0.0,0.0,0.049273021001615507,0.0,0.0,0.0,0.0,0.0,0.13664654847227461,0.00889967637540453,0.0,0.0,0.0,0.0
ENSG00000113532,0.0,0.3626688127454024,0.0,0.0,0.0,0.6106032943367301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782653211514996,0.5691989225044017,0.9753185062152533,0.6372810783914274,0.543442436903432,0.5245090285669946,0.0,0.0,0.0
ENSG00000101638,0.0,0.0,0.6370828541926247,0.3221906909670291,0.049695459579180506,0.0,0.5599200418430862,0.17312640720488903,0.11108497961743494,0.45613176280409856,0.0,0.0,0.0,0.2563007967277883,0.13851351351351351,0.0,0.04274395329441201,0.0,0.12263731376473204,0.1641833270463976,0.0,0.0,0.0,0.0,0.0
ENSG00000148488,0.0,0.9196781687428529,0.0,0.0,0.0,0.0,0.0,0.34509664482148605,0.0,0.42898690709845,0.0,0.7997261024089989,0.387522087304696,0.21909091009959347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196471734305626
ENSG00000204832,0.0,0.9088854249336957,0.0,0.043676170174971135,0.0,0.0,0.0,0.7818834713037649,0.0,0.0,0.0,0.27894641364188477,0.0641304347826087,0.12014940950871408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
