gene,Cerebellum-Astrocytes,Cerebellum-Granule_neurons,Cerebellum-Inhibitory_interneurons,Cerebellum-Microglia,Cerebellum-Oligodendrocytes,Cerebellum-Purkinje_neurons,Cerebellum-SLC24A4_PEX5L_positive_cells,Cerebellum-Unipolar_brush_cells,Cerebellum-Vascular_endothelial_cells
ENSG00000000003,0.46285005153766795,0.0,0.0,0.0,0.004468897372557826,0.0,0.0,0.0,0.23579150879933602
ENSG00000000971,0.0,0.0,0.0008978675645342313,0.0,0.021080823053850586,0.0,0.006018790369935408,0.01153846153846154,0.8949400548589178
ENSG00000001460,0.0,0.0,0.0,0.0,0.0,0.4164149436052712,0.24499297181029256,0.0005241935483870969,0.0
ENSG00000001461,0.0,0.04092701028222689,0.0,0.0,0.0,0.040101505282657636,0.3182928008709555,0.030922696560076054,0.0
ENSG00000001561,0.0,0.0,0.0,0.0,0.01640358406869491,0.3996514462374158,0.09223738578974655,0.0,0.01478332864412884
ENSG00000001617,0.0,0.0,0.0,0.0,0.0,0.4010418288161247,0.10625018237326697,0.0038419913419913414,0.021724903221514075
ENSG00000001626,0.0,0.0,0.0,0.0,0.0,0.7627240298701202,0.0,0.0,0.002349582784365393
ENSG00000001629,0.0,0.0,0.0,0.0,0.0,0.3431078562513011,0.14427242608807944,0.0,0.0
ENSG00000001630,0.10746562269135192,0.0,0.0,0.0,0.018400853456424938,0.0,0.00553863100514574,0.0,0.0
ENSG00000001631,0.0,0.0,0.0,0.0,0.0,0.20417522259984855,0.014815542456880491,0.0,0.0
ENSG00000002586,0.4543868332261782,0.0,0.0,0.1840151319163571,0.0,0.0,0.0,0.0,0.4154001767893632
ENSG00000002587,0.0,0.0,0.4882158458503294,0.10274935340529154,0.0,0.07364970388031557,0.38268374173304776,0.0,0.0
ENSG00000002745,0.0,0.0,0.0,0.0,0.0,0.9039090575624763,0.0,0.0,0.0
ENSG00000002746,0.0,0.14478591002771762,0.09859099061827323,0.0,0.0,0.40085936166715225,0.1534172128837299,0.028439957438880045,0.0
ENSG00000002834,0.025779245811746284,0.0,0.0,0.00031965119393846626,0.0,0.08244523352714267,0.03996827187883342,0.0,0.15479580720834082
ENSG00000003096,0.07935041163073933,0.0,0.7011117052445989,0.0,0.0084608492547198,0.0,0.0,0.0,0.0
ENSG00000003137,0.9414801623823269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
