gene,col5a2,dcc,gaba_fbxl7,gaba_reln,gaba_sox6_tac1,gaba_sst,gaba_vip,htrc2,il1rapl2,pdzd2,zfp804b
ENSG00000131584,0.05031148565553114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180328
ENSG00000130762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8686027136052763,0.0,0.17830882352941177,0.0
ENSG00000158286,0.5471086513971234,0.0,0.0,0.0,0.06469662921348315,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000215788,0.0,0.0,0.0,0.0,0.0,0.0,0.003676470588235294,0.0,0.0,0.43488745498199277,0.0
ENSG00000171680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47911914765906366,0.0
ENSG00000171735,0.0,0.1778846153846154,0.0,0.0,0.10168539325842697,0.0,0.0,0.0,0.051615168539325844,0.0,0.0
ENSG00000130939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2482560350729187,0.09929314790937557,0.0,0.0
ENSG00000241563,0.0,0.0,0.0,0.21474770787728817,0.0,0.8299547648862384,0.0,0.0,0.0,0.0,0.0
ENSG00000189337,0.0,0.0,0.14089769826852766,0.2796409536499476,0.2874456928838951,0.058876811594202896,0.14119601328903655,0.07207792207792207,0.0,0.0,0.0
ENSG00000142634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10728511770914598,0.31388722600847296,0.0,0.16163681204569053
ENSG00000162545,0.04896238651102464,0.14807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09308510638297872,0.0
ENSG00000076864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213166559219009,0.0,0.12694704049844235
ENSG00000117616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0598404255319149,0.0
ENSG00000130775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866719779447956,0.0,0.0,0.13664215686274508
ENSG00000159023,0.028929188255613126,0.07048544358731008,0.0,0.0,0.27575328169884733,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116478,0.0,0.0,0.01666310012336044,0.39182439881348946,0.13790262172284645,0.07584269662921349,0.6636518752273265,0.0,0.0,0.0,0.0
ENSG00000121904,0.3635628985974745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163873,0.0,0.0,0.0,0.0,0.6138886949565471,0.6114431933945139,0.0,0.0,0.19166743414993553,0.0,0.0
ENSG00000127603,0.13488975356679636,0.0,0.0,0.0,0.015730337078651686,0.0,0.0,0.0,0.1583567415730337,0.0,0.08333333333333333
ENSG00000127124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2668424203352367,0.0,0.08255451713395638
ENSG00000186094,0.21238651102464332,0.1,0.0,0.0,0.0,0.0,0.0,0.011688311688311689,0.31941310554429914,0.0,0.0
ENSG00000225623,0.3041183063927061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268689496735638,0.0,0.0
ENSG00000162374,0.03858625162127108,0.07596153846153846,0.0,0.0,0.0,0.0,0.0,0.12348217153870863,0.3325313133173697,0.0,0.0
ENSG00000169213,0.0,0.21853387438249822,0.0,0.0,0.0,0.733524778268998,0.01937269372693727,0.3753782142474722,0.0,0.0,0.0
ENSG00000157193,0.0,0.0,0.0,0.0,0.5235313988582233,0.5551594433790986,0.0,0.0,0.0,0.0,0.0
ENSG00000173406,0.07360570687418937,0.0,0.0,0.11234177215189874,0.0,0.06521739130434782,0.0,0.1,0.0,0.03324468085106383,0.0
ENSG00000162601,0.253313105246534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162599,0.0,0.0,0.08678343949044585,0.0,0.0,0.0,0.026606572861702822,0.0,0.0,0.0,0.6875674517163998
