gene,ASC1,ASC2,END,GABA1,GABA2,MG,NSC,ODC1,ODC2,OPC,exCA1,exCA3,exDG,exPFC1,exPFC2
ENSG00000268895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050962815405046484,0.0,0.01523766204230157,0.12551269630626682,0.0,0.35469767118857676,0.0
ENSG00000175899,0.0,0.0,0.7985187408221622,0.0,0.0,0.5789096729981285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166535,0.884156389417367,0.7226560086432519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000128274,0.012619669277632724,0.0,0.8890289820405919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000094914,0.011775852734163508,0.0,0.0,0.0,0.0,0.0,0.2697090995945137,0.0,0.0,0.0,0.0,0.0,0.0,0.047000168568449914,0.3347510749321645
ENSG00000081760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2311183549654836,0.28694947213846833,0.28920643859688316,0.6571404726282274,0.5753745471994536
ENSG00000109576,0.03451543042772063,0.0,0.0,0.502043958448976,0.44807305003690545,0.0,0.0,0.0,0.0,0.2554192415452011,0.0,0.0,0.0,0.07407407407407407,0.2756271550824463
ENSG00000158122,0.0,0.0,0.36229385976642703,0.0,0.0,0.0,0.06623688032499708,0.0,0.005644090305444887,0.0,0.0,0.0,0.0,0.0,0.27367858484658736
ENSG00000103591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014725949511030248,0.0,0.0,0.3363675831695101,0.3925478396994364
ENSG00000115977,0.0,0.0,0.0,0.612289148017556,0.3302029733392317,0.0,0.0,0.0,0.0,0.0,0.39311651963709865,0.26078832540002583,0.0,0.5281442437385558,0.3927012314756836
ENSG00000127837,0.0,0.0,0.10579660604612391,0.11570719481351677,0.0846987205334225,0.0,0.0,0.0,0.0,0.0,0.0076364019380661475,0.0,0.2558135079231029,0.0,0.0
ENSG00000090861,0.0,0.0,0.0,0.0,0.4742405454838142,0.0,0.0,0.15651824955986385,0.0,0.0,0.0,0.0,0.0,0.0,0.17896856606136508
ENSG00000124608,0.0,0.0,0.0,0.21696236920746775,0.4117555374898859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.06591603005635567
ENSG00000266967,0.0,0.0,0.0,0.0,0.0,0.07272494887525563,0.0,0.0,0.0,0.0,0.0,0.0,0.004620123203285421,0.49905764763406757,0.4511010884431995
ENSG00000157426,0.043365699350572606,0.0,0.0,0.1662838364178098,0.0,0.038458485562270384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859893759131705
ENSG00000149313,0.0,0.0,0.0,0.0,0.3093541857209825,0.0,0.0,0.0,0.0,0.0,0.3158635220530458,0.0,0.2851757964449993,0.0,0.09482590273429348
ENSG00000008311,0.6216016476802536,0.33342165595743917,0.0,0.0,0.0,0.0,0.024593879751563023,0.34287229936399427,0.5965915855918791,0.17375038561451392,0.0,0.0,0.0,0.0,0.0
ENSG00000181409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8443260688099539,0.811438249536512,0.0,0.0,0.0,0.0,0.0,0.00036666666666666667
ENSG00000183044,0.0,0.0,0.0,0.65373697681152,0.5717927005314712,0.0,0.23494369874252083,0.0,0.0,0.0,0.0,0.0,0.0,0.244065994588004,0.13177428511792943
ENSG00000165029,0.6135095350822992,0.8266407396379558,0.2315115073964189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154263,0.0,0.0,0.0,0.6850865357842248,0.37907593157019864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6378648653488691,0.6337090844799627
ENSG00000107331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8406573769093886,0.8332617699311357,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000167972,0.0,0.0,0.0,0.11660230097200368,0.12401196201266027,0.0,0.0,0.0,0.0,0.0,0.20542203282309562,0.09625421346417663,0.0607460643394935,0.044641326441028376,0.31905927781256527
ENSG00000154265,0.0,0.0,0.0,0.40095336579316776,0.23852345033093045,0.0,0.09895200486026731,0.0,0.0,0.0,0.0,0.0,0.18538417940266272,0.3648003099023188,0.3342426424546024
ENSG00000154262,0.0,0.0,0.0,0.4715947339817171,0.0,0.0,0.0,0.0,0.4589476657479543,0.0,0.0,0.0,0.0,0.5565046261571147,0.3449802337716552
ENSG00000064687,0.0,0.0,0.0,0.45008141915086386,0.0,0.0,0.0,0.0,0.0,0.0,0.5522902177530036,0.48969487178215004,0.0,0.5253240284649469,0.4973214033968225
